semana,ano,cidade,infectados
33,2019,Sobral,13
34,2019,Sobral,7
35,2019,Sobral,13
36,2019,Sobral,6
37,2019,Sobral,3
38,2019,Sobral,2
39,2019,Sobral,0
40,2019,Sobral,2
41,2019,Sobral,0
42,2019,Sobral,0
43,2019,Sobral,0
44,2019,Sobral,0
45,2019,Sobral,0
46,2019,Sobral,0
47,2019,Sobral,0
48,2019,Sobral,0
49,2019,Sobral,0
50,2019,Sobral,0
51,2019,Sobral,0
52,2019,Sobral,0
1,2007,Caucaia,0
2,2007,Caucaia,0
3,2007,Caucaia,0
4,2007,Caucaia,0
5,2007,Caucaia,0
6,2007,Caucaia,0
7,2007,Caucaia,0
8,2007,Caucaia,1
9,2007,Caucaia,2
10,2007,Caucaia,0
11,2007,Caucaia,0
12,2007,Caucaia,3
13,2007,Caucaia,1
14,2007,Caucaia,3
15,2007,Caucaia,0
16,2007,Caucaia,3
17,2007,Caucaia,2
18,2007,Caucaia,1
19,2007,Caucaia,4
20,2007,Caucaia,4
21,2007,Caucaia,4
22,2007,Caucaia,3
23,2007,Caucaia,7
24,2007,Caucaia,17
25,2007,Caucaia,12
26,2007,Caucaia,6
27,2007,Caucaia,8
28,2007,Caucaia,2
29,2007,Caucaia,6
30,2007,Caucaia,6
31,2007,Caucaia,4
32,2007,Caucaia,5
33,2007,Caucaia,2
34,2007,Caucaia,6
35,2007,Caucaia,0
36,2007,Caucaia,0
37,2007,Caucaia,1
38,2007,Caucaia,0
39,2007,Caucaia,1
40,2007,Caucaia,1
41,2007,Caucaia,0
42,2007,Caucaia,1
43,2007,Caucaia,1
44,2007,Caucaia,0
45,2007,Caucaia,0
46,2007,Caucaia,1
47,2007,Caucaia,0
48,2007,Caucaia,1
49,2007,Caucaia,1
50,2007,Caucaia,0
51,2007,Caucaia,1
52,2007,Caucaia,0
1,2008,Caucaia,2
2,2008,Caucaia,12
3,2008,Caucaia,7
4,2008,Caucaia,10
5,2008,Caucaia,14
6,2008,Caucaia,23
7,2008,Caucaia,55
8,2008,Caucaia,52
9,2008,Caucaia,73
10,2008,Caucaia,80
11,2008,Caucaia,71
12,2008,Caucaia,98
13,2008,Caucaia,127
14,2008,Caucaia,253
15,2008,Caucaia,257
16,2008,Caucaia,243
17,2008,Caucaia,255
18,2008,Caucaia,164
19,2008,Caucaia,203
20,2008,Caucaia,138
21,2008,Caucaia,92
22,2008,Caucaia,64
23,2008,Caucaia,38
24,2008,Caucaia,36
25,2008,Caucaia,13
26,2008,Caucaia,14
27,2008,Caucaia,15
28,2008,Caucaia,2
29,2008,Caucaia,4
30,2008,Caucaia,0
31,2008,Caucaia,0
32,2008,Caucaia,0
33,2008,Caucaia,2
34,2008,Caucaia,2
35,2008,Caucaia,0
36,2008,Caucaia,0
37,2008,Caucaia,0
38,2008,Caucaia,0
39,2008,Caucaia,0
40,2008,Caucaia,0
41,2008,Caucaia,0
42,2008,Caucaia,0
43,2008,Caucaia,0
44,2008,Caucaia,0
45,2008,Caucaia,0
46,2008,Caucaia,0
47,2008,Caucaia,0
48,2008,Caucaia,0
49,2008,Caucaia,0
50,2008,Caucaia,0
51,2008,Caucaia,0
52,2008,Caucaia,0
1,2009,Caucaia,0
2,2009,Caucaia,1
3,2009,Caucaia,0
4,2009,Caucaia,1
5,2009,Caucaia,1
6,2009,Caucaia,1
7,2009,Caucaia,0
8,2009,Caucaia,0
9,2009,Caucaia,1
10,2009,Caucaia,1
11,2009,Caucaia,1
12,2009,Caucaia,0
13,2009,Caucaia,1
14,2009,Caucaia,0
15,2009,Caucaia,0
16,2009,Caucaia,0
17,2009,Caucaia,1
18,2009,Caucaia,0
19,2009,Caucaia,0
20,2009,Caucaia,0
21,2009,Caucaia,0
22,2009,Caucaia,0
23,2009,Caucaia,0
24,2009,Caucaia,0
25,2009,Caucaia,0
26,2009,Caucaia,1
27,2009,Caucaia,0
28,2009,Caucaia,0
29,2009,Caucaia,0
30,2009,Caucaia,0
31,2009,Caucaia,0
32,2009,Caucaia,0
33,2009,Caucaia,0
34,2009,Caucaia,0
35,2009,Caucaia,0
36,2009,Caucaia,0
37,2009,Caucaia,0
38,2009,Caucaia,0
39,2009,Caucaia,0
40,2009,Caucaia,0
41,2009,Caucaia,0
42,2009,Caucaia,0
43,2009,Caucaia,0
44,2009,Caucaia,0
45,2009,Caucaia,0
46,2009,Caucaia,0
47,2009,Caucaia,0
48,2009,Caucaia,0
49,2009,Caucaia,0
50,2009,Caucaia,0
51,2009,Caucaia,0
52,2009,Caucaia,0
1,2010,Caucaia,0
2,2010,Caucaia,1
3,2010,Caucaia,1
4,2010,Caucaia,0
5,2010,Caucaia,0
6,2010,Caucaia,0
7,2010,Caucaia,0
8,2010,Caucaia,0
9,2010,Caucaia,0
10,2010,Caucaia,0
11,2010,Caucaia,0
12,2010,Caucaia,0
13,2010,Caucaia,1
14,2010,Caucaia,0
15,2010,Caucaia,0
16,2010,Caucaia,1
17,2010,Caucaia,0
18,2010,Caucaia,0
19,2010,Caucaia,0
20,2010,Caucaia,1
21,2010,Caucaia,0
22,2010,Caucaia,0
23,2010,Caucaia,1
24,2010,Caucaia,0
25,2010,Caucaia,0
26,2010,Caucaia,1
27,2010,Caucaia,0
28,2010,Caucaia,1
29,2010,Caucaia,1
30,2010,Caucaia,0
31,2010,Caucaia,0
32,2010,Caucaia,2
33,2010,Caucaia,4
34,2010,Caucaia,2
35,2010,Caucaia,3
36,2010,Caucaia,1
37,2010,Caucaia,9
38,2010,Caucaia,15
39,2010,Caucaia,21
40,2010,Caucaia,24
41,2010,Caucaia,17
42,2010,Caucaia,9
43,2010,Caucaia,4
44,2010,Caucaia,11
45,2010,Caucaia,13
46,2010,Caucaia,10
47,2010,Caucaia,9
48,2010,Caucaia,13
49,2010,Caucaia,9
50,2010,Caucaia,13
51,2010,Caucaia,11
52,2010,Caucaia,7
1,2011,Caucaia,25
2,2011,Caucaia,25
3,2011,Caucaia,38
4,2011,Caucaia,30
5,2011,Caucaia,42
6,2011,Caucaia,27
7,2011,Caucaia,70
8,2011,Caucaia,51
9,2011,Caucaia,73
10,2011,Caucaia,94
11,2011,Caucaia,73
12,2011,Caucaia,64
13,2011,Caucaia,39
14,2011,Caucaia,61
15,2011,Caucaia,32
16,2011,Caucaia,36
17,2011,Caucaia,18
18,2011,Caucaia,24
19,2011,Caucaia,15
20,2011,Caucaia,18
21,2011,Caucaia,9
22,2011,Caucaia,5
23,2011,Caucaia,8
24,2011,Caucaia,5
25,2011,Caucaia,2
26,2011,Caucaia,2
27,2011,Caucaia,2
28,2011,Caucaia,1
29,2011,Caucaia,4
30,2011,Caucaia,1
31,2011,Caucaia,1
32,2011,Caucaia,2
33,2011,Caucaia,6
34,2011,Caucaia,1
35,2011,Caucaia,1
36,2011,Caucaia,3
37,2011,Caucaia,1
38,2011,Caucaia,3
39,2011,Caucaia,1
40,2011,Caucaia,1
41,2011,Caucaia,1
42,2011,Caucaia,1
43,2011,Caucaia,1
44,2011,Caucaia,2
45,2011,Caucaia,2
46,2011,Caucaia,0
47,2011,Caucaia,1
48,2011,Caucaia,4
49,2011,Caucaia,2
50,2011,Caucaia,2
51,2011,Caucaia,0
52,2011,Caucaia,22
1,2012,Caucaia,0
2,2012,Caucaia,0
3,2012,Caucaia,0
4,2012,Caucaia,0
5,2012,Caucaia,0
6,2012,Caucaia,0
7,2012,Caucaia,0
8,2012,Caucaia,0
9,2012,Caucaia,1
10,2012,Caucaia,0
11,2012,Caucaia,0
12,2012,Caucaia,0
13,2012,Caucaia,0
14,2012,Caucaia,0
15,2012,Caucaia,0
16,2012,Caucaia,0
17,2012,Caucaia,0
18,2012,Caucaia,0
19,2012,Caucaia,0
20,2012,Caucaia,0
21,2012,Caucaia,0
22,2012,Caucaia,0
23,2012,Caucaia,0
24,2012,Caucaia,0
25,2012,Caucaia,0
26,2012,Caucaia,0
27,2012,Caucaia,0
28,2012,Caucaia,0
29,2012,Caucaia,0
30,2012,Caucaia,0
31,2012,Caucaia,0
32,2012,Caucaia,0
33,2012,Caucaia,0
34,2012,Caucaia,0
35,2012,Caucaia,0
36,2012,Caucaia,0
37,2012,Caucaia,0
38,2012,Caucaia,0
39,2012,Caucaia,0
40,2012,Caucaia,0
41,2012,Caucaia,0
42,2012,Caucaia,0
43,2012,Caucaia,0
44,2012,Caucaia,0
45,2012,Caucaia,0
46,2012,Caucaia,0
47,2012,Caucaia,0
48,2012,Caucaia,0
49,2012,Caucaia,0
50,2012,Caucaia,0
51,2012,Caucaia,0
52,2012,Caucaia,0
1,2013,Caucaia,0
2,2013,Caucaia,1
3,2013,Caucaia,0
4,2013,Caucaia,1
5,2013,Caucaia,0
6,2013,Caucaia,0
7,2013,Caucaia,0
8,2013,Caucaia,3
9,2013,Caucaia,1
10,2013,Caucaia,3
11,2013,Caucaia,1
12,2013,Caucaia,7
13,2013,Caucaia,4
14,2013,Caucaia,5
15,2013,Caucaia,6
16,2013,Caucaia,8
17,2013,Caucaia,7
18,2013,Caucaia,14
19,2013,Caucaia,35
20,2013,Caucaia,56
21,2013,Caucaia,63
22,2013,Caucaia,27
23,2013,Caucaia,35
24,2013,Caucaia,73
25,2013,Caucaia,55
26,2013,Caucaia,36
27,2013,Caucaia,42
28,2013,Caucaia,66
29,2013,Caucaia,36
30,2013,Caucaia,25
31,2013,Caucaia,12
32,2013,Caucaia,16
33,2013,Caucaia,20
34,2013,Caucaia,18
35,2013,Caucaia,2
36,2013,Caucaia,5
37,2013,Caucaia,2
38,2013,Caucaia,3
39,2013,Caucaia,1
40,2013,Caucaia,1
41,2013,Caucaia,1
42,2013,Caucaia,1
43,2013,Caucaia,0
44,2013,Caucaia,0
45,2013,Caucaia,3
46,2013,Caucaia,5
47,2013,Caucaia,4
48,2013,Caucaia,1
49,2013,Caucaia,1
50,2013,Caucaia,0
51,2013,Caucaia,2
52,2013,Caucaia,1
1,2014,Caucaia,8
2,2014,Caucaia,6
3,2014,Caucaia,4
4,2014,Caucaia,11
5,2014,Caucaia,1
6,2014,Caucaia,2
7,2014,Caucaia,5
8,2014,Caucaia,2
9,2014,Caucaia,0
10,2014,Caucaia,6
11,2014,Caucaia,7
12,2014,Caucaia,4
13,2014,Caucaia,7
14,2014,Caucaia,5
15,2014,Caucaia,8
16,2014,Caucaia,6
17,2014,Caucaia,4
18,2014,Caucaia,13
19,2014,Caucaia,8
20,2014,Caucaia,7
21,2014,Caucaia,15
22,2014,Caucaia,16
23,2014,Caucaia,33
24,2014,Caucaia,25
25,2014,Caucaia,17
26,2014,Caucaia,8
27,2014,Caucaia,21
28,2014,Caucaia,25
29,2014,Caucaia,14
30,2014,Caucaia,5
31,2014,Caucaia,10
32,2014,Caucaia,20
33,2014,Caucaia,24
34,2014,Caucaia,21
35,2014,Caucaia,19
36,2014,Caucaia,17
37,2014,Caucaia,10
38,2014,Caucaia,3
39,2014,Caucaia,10
40,2014,Caucaia,11
41,2014,Caucaia,11
42,2014,Caucaia,5
43,2014,Caucaia,5
44,2014,Caucaia,3
45,2014,Caucaia,8
46,2014,Caucaia,8
47,2014,Caucaia,6
48,2014,Caucaia,2
49,2014,Caucaia,8
50,2014,Caucaia,14
51,2014,Caucaia,25
52,2014,Caucaia,15
1,2015,Caucaia,11
2,2015,Caucaia,14
3,2015,Caucaia,9
4,2015,Caucaia,18
5,2015,Caucaia,43
6,2015,Caucaia,21
7,2015,Caucaia,0
8,2015,Caucaia,0
